age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
55,9,3,2,1,1,2,1,9,3,269,2,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
55,8,3,3,1,2,2,1,9,3,135,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
50,6,3,6,1,1,1,1,9,3,161,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
45,7,3,5,1,2,2,1,9,3,787,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
55,1,3,3,1,2,1,1,9,3,145,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
25,8,2,6,2,2,2,1,9,3,174,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
47,4,3,6,1,1,2,1,9,3,449,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
51,9,3,4,2,2,2,1,9,3,812,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
42,9,3,1,1,2,2,1,9,3,164,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
42,9,3,1,1,1,2,1,9,3,366,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
48,10,3,5,2,1,2,1,9,3,357,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
37,10,3,6,2,1,2,1,9,3,232,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
44,9,2,4,2,2,2,1,9,3,91,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
33,10,3,6,2,2,2,1,9,3,273,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
56,10,3,4,2,2,2,1,9,3,158,2,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
44,9,2,2,1,2,1,1,9,3,177,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
41,6,3,1,2,1,2,1,9,3,200,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
44,6,1,6,2,2,2,1,9,3,172,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
47,10,3,6,1,2,2,1,9,3,176,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
57,10,3,6,1,1,2,1,9,3,211,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
37,10,3,6,1,2,2,1,9,3,214,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
41,9,1,2,1,2,2,1,9,3,1575,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,1
55,8,3,6,2,1,2,1,9,3,349,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
33,7,3,5,1,2,2,1,9,3,337,2,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
55,6,3,6,1,2,2,1,9,3,272,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
42,9,3,4,1,1,2,1,9,3,208,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
50,9,3,2,1,2,2,1,9,3,193,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
51,9,3,2,1,0,0,1,9,3,212,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
38,10,3,5,1,1,2,1,9,3,165,2,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
49,4,3,6,1,2,2,1,9,3,1042,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,1
38,8,2,6,2,1,1,1,9,3,20,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
31,10,1,5,2,1,2,1,9,3,246,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
41,6,3,1,2,1,2,1,9,3,529,2,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
39,10,3,6,2,2,1,1,9,3,192,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
49,8,3,4,2,1,2,1,9,3,1467,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,1
34,10,3,5,2,2,2,1,9,3,188,2,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
35,10,3,6,2,2,2,1,9,3,180,2,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
57,10,3,6,1,2,2,1,9,3,48,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
60,10,3,6,1,1,1,1,9,3,213,2,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
33,1,3,4,2,1,2,1,9,3,545,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
42,9,3,1,2,1,1,1,9,3,583,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
45,7,3,3,2,2,2,1,9,3,221,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
42,6,3,6,2,1,2,1,9,3,426,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
53,10,1,6,1,1,2,1,9,3,287,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
37,8,2,3,2,1,2,1,9,3,197,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
44,9,3,1,2,1,2,1,9,3,257,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
54,7,3,6,2,2,2,1,9,3,229,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
49,9,3,2,2,1,2,1,9,3,55,3,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
54,7,3,6,2,1,2,1,9,3,400,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
52,10,1,6,2,1,2,1,9,3,197,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
52,10,1,6,2,1,2,1,9,3,190,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
43,7,2,5,1,1,2,1,9,3,21,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
34,2,3,1,2,2,2,1,9,3,300,2,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
35,10,3,5,2,2,2,1,9,3,123,2,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
42,4,3,6,1,2,2,1,9,3,293,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
43,8,3,6,1,2,1,1,9,3,325,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
60,5,1,6,1,1,2,1,9,3,514,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
58,1,3,2,1,1,2,1,9,3,849,2,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
35,7,1,5,2,2,2,1,9,3,194,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
55,9,3,4,1,2,2,1,9,3,212,2,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
37,6,3,6,2,1,2,1,9,3,337,2,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
36,9,3,5,2,1,2,1,9,3,286,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
52,10,1,6,2,1,2,1,9,3,247,2,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
57,9,1,6,1,2,2,1,9,3,518,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
56,10,3,6,2,2,2,1,9,3,364,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
48,9,1,2,1,2,2,1,9,3,178,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
40,9,3,5,1,2,2,1,9,3,98,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
49,9,1,5,2,1,2,1,9,3,439,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
41,7,3,5,2,1,2,1,9,3,139,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
45,8,3,5,2,2,2,1,9,3,79,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
32,10,3,6,2,2,1,1,9,3,175,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
42,10,3,6,2,1,1,1,9,3,262,2,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
50,10,3,1,2,1,2,1,9,3,61,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
31,8,1,3,2,2,1,1,9,3,78,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
56,5,3,2,2,2,2,1,9,3,102,2,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
41,8,3,3,1,2,2,1,9,3,579,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,1
37,9,3,1,2,2,1,1,9,3,143,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
41,8,3,3,1,1,2,1,9,3,677,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
35,9,3,6,2,2,2,1,9,3,267,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
37,9,3,1,2,2,2,1,9,3,345,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
52,6,3,6,2,1,2,1,9,3,185,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
39,6,1,6,2,1,2,1,9,3,207,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
39,2,3,2,1,1,2,1,9,3,69,2,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
56,9,3,2,1,1,2,1,9,3,100,2,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
34,7,3,5,2,2,2,1,9,3,125,2,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
45,9,3,4,1,2,2,1,9,3,461,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,1
43,1,2,6,2,2,2,1,9,3,240,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
56,6,3,6,2,2,2,1,9,3,70,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
39,6,3,6,2,2,2,1,9,3,193,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
53,9,3,2,2,2,2,1,9,3,136,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
38,10,1,5,1,2,2,1,9,3,73,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
42,9,3,2,1,2,2,1,9,3,528,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
42,9,3,2,1,1,2,1,9,3,541,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
35,10,2,5,2,2,2,1,9,3,338,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
40,10,3,6,1,2,2,1,9,3,163,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
51,9,3,2,2,2,2,1,9,3,87,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
60,9,3,4,1,1,2,1,9,3,301,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
56,4,3,6,1,2,2,1,9,3,46,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
39,7,1,5,1,2,2,1,9,3,52,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
56,4,3,6,1,1,2,1,9,3,204,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
40,9,3,6,2,2,1,1,9,3,155,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
36,9,3,4,2,2,1,1,9,3,98,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
51,9,3,6,1,2,2,1,9,3,71,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
51,9,3,6,1,1,2,1,9,3,243,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
43,8,2,3,2,2,2,1,9,3,186,2,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
59,7,3,5,2,1,2,1,9,3,579,2,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
24,6,2,6,2,2,2,1,9,3,165,2,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
37,9,2,4,1,2,1,1,9,3,163,2,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
40,9,3,4,1,1,2,1,9,3,46,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
42,9,3,4,1,1,2,1,9,3,559,3,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
39,7,1,5,1,1,2,1,9,3,2033,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
37,4,3,1,2,1,2,1,9,3,85,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
38,7,3,5,2,2,1,1,9,3,506,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
56,10,1,6,1,1,2,1,9,3,114,2,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
40,9,3,6,2,1,2,1,9,3,114,2,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
54,6,1,6,2,2,2,1,9,3,843,2,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
43,9,3,5,1,1,1,1,9,3,181,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
36,7,3,5,1,1,2,1,9,3,427,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
45,8,3,6,2,2,1,1,9,3,292,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
42,10,2,6,1,1,2,1,9,3,192,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
43,7,3,5,2,1,2,1,9,3,93,3,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
46,6,3,4,2,1,2,1,9,3,128,2,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
44,7,3,5,2,2,1,1,9,3,107,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
51,10,2,1,2,1,2,1,9,3,303,2,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
28,7,3,5,2,2,2,1,9,3,81,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
37,9,3,4,2,1,2,1,9,3,270,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
34,8,3,5,2,1,2,1,9,3,228,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
46,9,3,1,1,2,2,1,9,3,240,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
42,9,3,4,2,2,1,1,9,3,673,2,999,0,2,1.1,93.994,-36.4,4.857,5191.0,1
36,10,3,6,2,2,2,1,9,3,233,3,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
54,9,3,2,1,1,2,1,9,3,102,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
57,6,3,6,2,1,2,1,9,3,461,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
51,8,3,1,1,1,2,1,9,3,250,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
54,5,3,5,1,1,2,1,9,3,130,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
49,9,3,2,1,1,2,1,9,3,252,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
34,10,3,6,2,2,2,1,9,3,138,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
41,8,3,3,2,1,2,1,9,3,412,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
38,9,2,4,2,2,2,1,9,3,179,2,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
45,6,1,6,2,1,2,1,9,3,19,2,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
42,8,3,6,2,1,2,1,9,3,228,2,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
34,9,2,4,1,2,2,1,9,3,55,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
48,9,3,2,2,2,2,1,9,3,717,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
37,10,3,5,1,2,2,1,9,3,313,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
34,9,2,4,1,1,2,1,9,3,289,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
40,10,3,4,1,2,2,1,9,3,683,2,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
43,9,3,1,2,2,2,1,9,3,1077,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
33,7,3,5,2,1,2,1,9,3,146,2,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
32,7,2,1,2,1,2,1,9,3,167,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
39,9,3,5,2,2,2,1,9,3,356,2,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
43,10,3,6,2,1,2,1,9,3,277,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
44,9,3,4,2,2,2,1,9,3,172,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
35,0,2,6,1,1,2,1,9,3,218,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
35,0,2,6,1,2,1,1,9,3,217,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
35,1,3,3,2,1,2,1,9,3,67,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
36,7,2,2,2,1,2,1,9,3,291,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
35,0,2,6,1,2,2,1,9,3,248,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
36,0,2,4,2,2,2,1,9,3,256,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
55,2,1,6,2,1,2,1,9,3,286,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
59,10,3,6,2,1,2,1,9,3,477,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
57,5,3,6,1,1,2,1,9,3,611,2,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
39,9,3,3,1,2,2,1,9,3,471,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
39,2,3,2,1,2,2,1,9,3,381,2,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
30,9,2,6,2,2,2,1,9,3,251,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
30,9,2,6,2,2,1,1,9,3,408,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
50,2,3,2,1,1,2,1,9,3,287,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
40,7,3,5,2,1,2,1,9,3,322,3,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
35,10,3,5,2,2,2,1,9,3,216,2,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
43,8,3,6,1,1,2,1,9,3,366,2,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
36,7,2,1,1,2,2,1,9,3,210,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
46,8,3,2,1,2,2,1,9,3,288,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
40,8,3,4,2,1,2,1,9,3,168,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
58,5,3,6,2,1,2,1,9,3,132,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
42,8,3,6,2,1,2,1,9,3,64,2,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
35,10,2,6,2,1,2,1,9,3,209,2,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
43,5,3,2,1,1,2,1,9,3,410,3,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
45,9,3,2,2,2,1,1,9,3,177,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
39,10,3,3,2,2,2,1,9,3,580,2,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
50,7,1,3,2,2,2,1,9,3,165,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
32,6,1,2,1,2,2,1,9,3,127,2,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
39,10,3,5,1,1,2,1,9,3,357,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
52,3,3,6,1,1,2,1,9,3,175,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
44,10,3,3,2,2,2,1,9,3,300,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
56,9,3,2,2,1,2,1,9,3,136,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
48,10,3,5,2,1,2,1,9,3,125,2,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
33,7,3,5,1,1,1,1,9,3,189,2,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
43,6,3,6,1,1,1,1,9,3,213,3,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
57,5,3,5,2,1,2,1,9,3,238,2,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
36,8,2,3,2,1,2,1,9,3,124,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
34,6,3,6,2,2,2,1,9,3,18,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
34,7,2,4,2,1,2,1,9,3,730,2,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
30,8,3,6,1,1,2,1,9,3,40,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
33,7,1,6,2,1,2,1,9,3,181,2,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
32,8,2,3,2,1,2,1,9,3,79,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
36,8,2,5,2,2,2,1,9,3,142,2,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
36,9,2,5,2,1,1,1,9,3,389,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
33,7,2,5,2,1,2,1,9,3,702,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
40,8,1,3,2,1,2,1,9,3,151,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
41,9,3,2,2,2,2,1,9,3,211,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
51,7,3,1,2,2,2,1,9,3,117,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
36,8,3,3,2,2,2,1,9,3,232,3,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
28,7,3,6,2,1,2,1,9,3,408,2,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
